Run,geographic_location_(country_and/or_sea region)
ERR479229,France
ERR479230,France
ERR480723,France
ERR480724,France
ERR480725,France
ERR480726,France
ERR475560,France
ERR479177,France
ERR479178,France
ERR479179,France
ERR479180,France
ERR480673,France
ERR480674,France
ERR480675,France
ERR480676,France
ERR475561,France
ERR479299,France
ERR479300,France
ERR479301,France
ERR480795,France
ERR480796,France
ERR480797,France
ERR475562,France
ERR479391,France
ERR479392,France
ERR480887,France
ERR480888,France
ERR475563,France
ERR479169,France
ERR479170,France
ERR479171,France
ERR479172,France
ERR480665,France
ERR480666,France
ERR480667,France
ERR480668,France
ERR475564,France
ERR479401,France
ERR479402,France
ERR479403,France
ERR479404,France
ERR480897,France
ERR480898,France
ERR480899,France
ERR480900,France
ERR475565,France
ERR479321,France
ERR479322,France
ERR479323,France
ERR479324,France
ERR480817,France
ERR480818,France
ERR480819,France
ERR480820,France
ERR475566,France
ERR479267,France
ERR479268,France
ERR479269,France
ERR480763,France
ERR480764,France
ERR480765,France
ERR475567,France
ERR479157,France
ERR479158,France
ERR479159,France
ERR479160,France
ERR480653,France
ERR480654,France
ERR480655,France
ERR480656,France
ERR475568,France
ERR479351,France
ERR479352,France
ERR480847,France
ERR480848,France
ERR475569,France
ERR479138,France
ERR479139,France
ERR480634,France
ERR480635,France
ERR475570,France
ERR478958,France
ERR478959,France
ERR478960,France
ERR478961,France
ERR480454,France
ERR480455,France
ERR480456,France
ERR480457,France
ERR475571,France
ERR479312,France
ERR479313,France
ERR479314,France
ERR479315,France
ERR480808,France
ERR480809,France
ERR480810,France
ERR480811,France
ERR475572,France
ERR479341,France
ERR479342,France
ERR480837,France
ERR480838,France
ERR475573,France
ERR479235,France
ERR479236,France
ERR479237,France
ERR480731,France
ERR480732,France
ERR480733,France
ERR475574,France
ERR479183,France
ERR479184,France
ERR479185,France
ERR479186,France
ERR480679,France
ERR480680,France
ERR480681,France
ERR480682,France
ERR475575,France
ERR479374,France
ERR479375,France
ERR479376,France
ERR479377,France
ERR480870,France
ERR480871,France
ERR480872,France
ERR480873,France
ERR475576,France
ERR479083,France
ERR479084,France
ERR480579,France
ERR480580,France
ERR475577,France
ERR479316,France
ERR479317,France
ERR479318,France
ERR480812,France
ERR480813,France
ERR480814,France
ERR475578,France
ERR479165,France
ERR479166,France
ERR480661,France
ERR480662,France
ERR475579,France
ERR479276,France
ERR479277,France
ERR479278,France
ERR479279,France
ERR480772,France
ERR480773,France
ERR480774,France
ERR480775,France
ERR475580,France
ERR479255,France
ERR479256,France
ERR479257,France
ERR479258,France
ERR480751,France
ERR480752,France
ERR480753,France
ERR480754,France
ERR475581,France
ERR479308,France
ERR479309,France
ERR479310,France
ERR479311,France
ERR480804,France
ERR480805,France
ERR480806,France
ERR480807,France
ERR475582,France
ERR479010,France
ERR479011,France
ERR480506,France
ERR480507,France
ERR475583,France
ERR479238,France
ERR479239,France
